X,Y,Z,Density,Susceptibility
-13646479.75,4652339.778,-19500,0.42,0.0001
-13643909.29,4652327.908,-19500,0.42,0.0001
-13641338.84,4652315.391,-19500,0.42,0.0001
-13643897.07,4654903.96,-19500,0.42,0.0001
-13641325.97,4654891.432,-19500,0.42,0.0001
-13638754.88,4654878.255,-19500,0.42,0.0001
-13641313.08,4657468.123,-19500,0.42,0.0001
-13638741.35,4657454.934,-19500,0.42,0.0001
-13636169.62,4657441.097,-19500,0.42,0.0001
-13595024.13,4657131.466,-19500,0.42,0.0001
-13638727.8,4660032.266,-19500,0.42,0.0001
-13636155.42,4660018.416,-19500,0.42,0.0001
-13633583.06,4660003.916,-19500,0.42,0.0001
-13631010.71,4659988.767,-19500,0.42,0.0001
-13605288.06,4659801.565,-19500,0.42,0.0001
-13602715.9,4659779.274,-19500,0.42,0.0001
-13600143.75,4659756.334,-19500,0.42,0.0001
-13597571.63,4659732.744,-19500,0.42,0.0001
-13594999.52,4659708.505,-19500,0.42,0.0001
-13636141.21,4662596.386,-19500,0.42,0.0001
-13633568.2,4662581.874,-19500,0.42,0.0001
-13630995.19,4662566.711,-19500,0.42,0.0001
-13628422.21,4662550.899,-19500,0.42,0.0001
-13625849.23,4662534.437,-19500,0.42,0.0001
-13623276.28,4662517.324,-19500,0.42,0.0001
-13620703.33,4662499.562,-19500,0.42,0.0001
-13618130.41,4662481.15,-19500,0.42,0.0001
-13615557.5,4662462.088,-19500,0.42,0.0001
-13612984.61,4662442.376,-19500,0.42,0.0001
-13610411.73,4662422.014,-19500,0.42,0.0001
-13607838.88,4662401.002,-19500,0.42,0.0001
-13605266.04,4662379.341,-19500,0.42,0.0001
-13602693.22,4662357.03,-19500,0.42,0.0001
-13600120.43,4662334.069,-19500,0.42,0.0001
-13597547.65,4662310.458,-19500,0.42,0.0001
-13594974.9,4662286.197,-19500,0.42,0.0001
-13633553.32,4665160.484,-19500,0.42,0.0001
-13630979.67,4665145.308,-19500,0.42,0.0001
-13628406.03,4665129.482,-19500,0.42,0.0001
-13625832.4,4665113.004,-19500,0.42,0.0001
